Anbieter,Postleitzahl,Jahresverbrauch,Abschlagszahlung,Grundpreis,Arbeitspreis,Wechselbonus,Sofortbonus,Preisgarantie,Vertragslaufzeit,Verlängerung,Kündigungsfrist,Preis im 1. Jahr,Jährliche Gutschrift,Arbeitspreisrabatt,Neukundenbonus,Abschlagsrabatt,Laufzeitbonus im 1. Jahr,Vorauszahlung: jährlich,Online-Abschluss,Zzgl. Treuebonus,Aktionsrabatt,CHECK24 Sofortbonus,Online-Rabatt
Stadtwerke Döbeln GmbH,10969,7.000 kWh,monatlich,"6,44 €/Monat (77,33 €/Jahr)","26,10 Cent/kWh",NA,NA,keine,2 Jahre,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.891,60 €/Jahr",NA,NA,NA,NA,"0,18 Ct./kWh",NA,NA,NA,NA,NA,NA
E WIE EINFACH GmbH,10969,7.000 kWh,monatlich,"8,50 €/Monat (102,00 €/Jahr)","27,42 Cent/kWh",NA,7 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.893,12 €/Jahr",NA,NA,6 % auf Rechnungsbetrag (121 € ),NA,NA,NA,NA,NA,NA,NA,NA
NEW Niederrhein Energie und Wasser GmbH,10969,7.000 kWh,monatlich,"6,85 €/Monat (82,22 €/Jahr)","26,49 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,12 Monate,12 Monate,1 Monat zum Monatsende,"1.893,86 €/Jahr",NA,NA,43 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Frankfurt (Oder) GmbH,10969,7.000 kWh,monatlich,"6,70 €/Monat (80,40 €/Jahr)","25,94 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,6 Wochen zum Vertragsende,"1.896,34 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Lutherstadt Wittenberg GmbH,10969,7.000 kWh,jährlich,"6,35 €/Monat (76,26 €/Jahr)","26,42 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,3 Monate vor Vertragsende,"1.896,63 €/Jahr",NA,NA,NA,NA,NA,2 % auf Rechnungsbetrag (28 € ),NA,NA,NA,NA,NA
Stadtwerke Bad Belzig GmbH,10969,7.000 kWh,monatlich,"8,06 €/Monat (96,68 €/Jahr)","26,07 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"1.896,78 €/Jahr",NA,NA,NA,NA,NA,NA,25 € einmalig,NA,NA,NA,NA
MONTANA Energieversorgung GmbH & Co. KG,10969,7.000 kWh,monatlich,"4,90 €/Monat (58,83 €/Jahr)","26,26 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,1 Monat zum Vertragsende,"1.897,26 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEW Niederrhein Energie und Wasser GmbH,10969,7.000 kWh,monatlich,"13,52 €/Monat (162,19 €/Jahr)","26,66 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.898,09 €/Jahr",NA,NA,130 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Vereinigte Wertach-Elektrizitätswerke GmbH,10969,7.000 kWh,monatlich,"9,80 €/Monat (117,60 €/Jahr)","25,28 Cent/kWh",NA,NA,keine,bis 31.12.2019,12 Monate,6 Wochen zum Jahresende,"1.899,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Flensburg GmbH,10969,7.000 kWh,monatlich,"6,08 €/Monat (72,96 €/Jahr)","26,10 Cent/kWh",NA,NA,12 Monate Preisgarantie,6 Monate,14 Tage,14 Tage zum Vertragsende,"1.899,73 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Haltern am See GmbH,10969,7.000 kWh,monatlich,"5,62 €/Monat (67,44 €/Jahr)","26,89 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.899,74 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Oberhessische Versorgungsbetriebe AG,10969,7.000 kWh,monatlich,"6,45 €/Monat (77,40 €/Jahr)","26,05 Cent/kWh",NA,NA,Nettopreisgarantie bis 31.03.2021,bis zum Quartalsende,3 Monate,6 Wochen zum Vertragsende,"1.900,83 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMB Energie Mark Brandenburg GmbH,10969,7.000 kWh,monatlich,"7,64 €/Monat (91,63 €/Jahr)","27,29 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.901,93 €/Jahr",NA,NA,100 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
rhenag - Eine Marke der rhenag Rheinische Energie Aktiengesellschaft,10969,7.000 kWh,monatlich,"7,56 €/Monat (90,68 €/Jahr)","25,88 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.902,45 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Bad Langensalza GmbH,10969,7.000 kWh,monatlich,"8,57 €/Monat (102,82 €/Jahr)","25,72 Cent/kWh",NA,NA,keine,bis 31.12.2019,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.902,93 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Döbeln GmbH,10969,7.000 kWh,monatlich,"6,44 €/Monat (77,33 €/Jahr)","26,10 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.904,10 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Voltera - Eine Marke der Energy2Day GmbH,10969,7.000 kWh,monatlich,"6,38 €/Monat (76,50 €/Jahr)","26,16 Cent/kWh",NA,NA,12 Monate Preisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.907,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Lutherstadt Wittenberg GmbH,10969,7.000 kWh,jährlich,"7,34 €/Monat (88,11 €/Jahr)","26,42 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,1 Monat,1 Monat auf das Ende eines Kalendermonats,"1.908,31 €/Jahr",NA,NA,NA,NA,NA,2 % auf Rechnungsbetrag (29 € ),NA,NA,NA,NA,NA
"GGEW, Gruppen-Gas- und Elektrizitätswerk Bergstraße Aktiengesellschaft",10969,7.000 kWh,monatlich,"6,06 €/Monat (72,69 €/Jahr)","26,26 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2020,12 Monate,12 Monate,1 Monat zum Monatsende,"1.911,12 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"6,51 €/Monat (78,09 €/Jahr)","26,19 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,4 Wochen zum Monatsende,"1.911,39 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
goldgas GmbH,10969,7.000 kWh,monatlich,"12,50 €/Monat (150,00 €/Jahr)","27,24 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.911,58 €/Jahr",NA,NA,145 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadt- und Überlandwerke GmbH Luckau-Lübbenau,10969,7.000 kWh,monatlich,"8,00 €/Monat (95,96 €/Jahr)","25,94 Cent/kWh",NA,NA,keine,6 Monate,6 Monate,6 Wochen zum Ende der Lieferzeit,"1.911,90 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"10,91 €/Monat (130,91 €/Jahr)","25,44 Cent/kWh",NA,NA,24 Monate Preisfixierung,12 Monate,1 Monat,4 Wochen zum Vertragsende,"1.911,95 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Haltern am See GmbH,10969,7.000 kWh,monatlich,"5,62 €/Monat (67,44 €/Jahr)","27,07 Cent/kWh",NA,NA,36 Monate Preisfixierung,36 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.912,34 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Adolf ROTH GmbH & Co. KG,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","27,32 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.912,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVH GmbH,10969,7.000 kWh,monatlich,"7,41 €/Monat (88,92 €/Jahr)","26,08 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,6 Wochen zum Monatsende,"1.914,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
natürlich grün - Eine Marke der Smiling Green Energy GmbH,10969,7.000 kWh,monatlich,"6,33 €/Monat (76,01 €/Jahr)","26,28 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,"1.915,36 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
natürlich grün - Eine Marke der Smiling Green Energy GmbH,10969,7.000 kWh,monatlich,"6,33 €/Monat (76,01 €/Jahr)","26,28 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,14 Tage,"1.915,36 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sunshine energie - Eine Marke der SWR Energie . Service . Bau GmbH,10969,7.000 kWh,monatlich,"6,40 €/Monat (76,77 €/Jahr)","26,28 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.916,37 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Schwerin GmbH (SWS),10969,7.000 kWh,monatlich,"8,03 €/Monat (96,39 €/Jahr)","32,15 Cent/kWh",NA,NA,24 Monate Nettopreisgarantie,24 Monate,12 Monate,4 Wochen zum Monatsende,"1.917,03 €/Jahr",NA,NA,405 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Frankfurt (Oder) GmbH,10969,7.000 kWh,monatlich,"6,70 €/Monat (80,40 €/Jahr)","26,24 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,6 Wochen zum Vertragsende,"1.917,16 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oberhessische Versorgungsbetriebe AG,10969,7.000 kWh,monatlich,"6,45 €/Monat (77,40 €/Jahr)","26,29 Cent/kWh",NA,NA,Nettopreisgarantie bis 31.03.2021,bis zum Quartalsende,3 Monate,6 Wochen zum Vertragsende,"1.917,49 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1 Energie AG,10969,7.000 kWh,monatlich,"8,93 €/Monat (107,16 €/Jahr)","25,87 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,12 Monate,4 Wochen zum Vertragsende,"1.918,06 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sömmerdaer Energieversorgung GmbH,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,16 €/Jahr)","26,06 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,3 Monate,"1.919,35 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adolf ROTH GmbH & Co. KG,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","27,42 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.919,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vivi-power GmbH,10969,7.000 kWh,monatlich,"6,64 €/Monat (79,74 €/Jahr)","26,30 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,1 Monat,"1.920,74 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Bad Belzig GmbH,10969,7.000 kWh,monatlich,"8,06 €/Monat (96,68 €/Jahr)","26,07 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"1.921,78 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SE SAUBER ENERGIE GmbH & Co. KG,10969,7.000 kWh,monatlich,"5,36 €/Monat (64,26 €/Jahr)","26,54 Cent/kWh",NA,NA,12 Monate Preisfixierung,1 Monat,1 Monat,1 Monat zum Monatsende,"1.921,85 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KlickEnergie GmbH & Co. KG,10969,7.000 kWh,monatlich,"8,18 €/Monat (98,21 €/Jahr)","26,55 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.923,75 €/Jahr",NA,NA,33 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Knauber Erdgas GmbH,10969,7.000 kWh,monatlich,"24,99 €/Monat (299,88 €/Jahr)","29,31 Cent/kWh",NA,75 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.923,85 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (352 € ),NA,NA,NA,NA,NA,NA,NA,NA
Elogico - Eine Marke der ENSTROGA AG,10969,7.000 kWh,monatlich,"11,90 €/Monat (142,81 €/Jahr)","25,44 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,4 Wochen zum Vertragsende,"1.923,85 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adolf ROTH GmbH & Co. KG,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","27,49 Cent/kWh",NA,NA,36 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.924,30 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEW Niederrhein Energie und Wasser GmbH,10969,7.000 kWh,monatlich,"6,32 €/Monat (75,89 €/Jahr)","26,42 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Monatsende,"1.925,31 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Lutherstadt Wittenberg GmbH,10969,7.000 kWh,monatlich,"6,35 €/Monat (76,26 €/Jahr)","26,42 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,3 Monate vor Vertragsende,"1.925,52 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEW Niederrhein Energie und Wasser GmbH,10969,7.000 kWh,monatlich,"6,37 €/Monat (76,39 €/Jahr)","26,42 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,1 Monat,1 Monat zum Monatsende,"1.925,98 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Flensburg GmbH,10969,7.000 kWh,monatlich,"6,24 €/Monat (74,87 €/Jahr)","26,45 Cent/kWh",NA,NA,12 Monate Preisgarantie,6 Monate,14 Tage,14 Tage zum Vertragsende,"1.926,63 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
schwarzwald energy - Eine Marke der schwarzwald energy GmbH,10969,7.000 kWh,monatlich,"9,17 €/Monat (110,00 €/Jahr)","25,96 Cent/kWh",NA,NA,Preisfixierung bis 31.12.2022,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.927,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E.ON Energie Deutschland GmbH,10969,7.000 kWh,monatlich,"7,12 €/Monat (85,47 €/Jahr)","26,32 Cent/kWh",NA,NA,Preisfixierung bis 31.01.2021,12 Monate,12 Monate,6 Wochen zum Monatsende,"1.928,06 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAS IN GmbH,10969,7.000 kWh,monatlich,"8,65 €/Monat (103,76 €/Jahr)","26,09 Cent/kWh",NA,NA,keine,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.930,27 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fulminant Energie GmbH,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","26,22 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,12 Monate,3 Monate zum Monatsende,"1.930,39 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heldenstrom - Eine Marke der 24/7 Energie und Kommunikation GmbH,10969,7.000 kWh,monatlich,"7,34 €/Monat (88,02 €/Jahr)","26,32 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,12 Monate,12 Monate,6 Wochen,"1.930,42 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knauber Erdgas GmbH,10969,7.000 kWh,monatlich,"7,00 €/Monat (84,00 €/Jahr)","26,40 Cent/kWh",NA,NA,36 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Vertragsende,"1.932,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PassatEnergie - Eine Marke der PassatEnergie GmbH,10969,7.000 kWh,monatlich,"7,97 €/Monat (95,68 €/Jahr)","26,24 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.932,44 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Frankfurt (Oder) GmbH,10969,7.000 kWh,monatlich,"6,70 €/Monat (80,40 €/Jahr)","26,48 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,6 Wochen zum Vertragsende,"1.933,82 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LÜNESTROM - Eine Marke der FIRSTCON GmbH,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","26,28 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.934,56 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Haltern am See GmbH,10969,7.000 kWh,monatlich,"5,62 €/Monat (67,44 €/Jahr)","26,69 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.935,74 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Technische Werke Ludwigshafen AG,10969,7.000 kWh,monatlich,"6,35 €/Monat (76,17 €/Jahr)","26,57 Cent/kWh",NA,NA,Nettopreisgarantie bis 31.12.2020,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.936,26 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E WIE EINFACH GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","28,96 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat zum Vertragsende,"1.937,20 €/Jahr",NA,NA,90 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Lutherstadt Wittenberg GmbH,10969,7.000 kWh,monatlich,"7,34 €/Monat (88,11 €/Jahr)","26,42 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,1 Monat,1 Monat auf das Ende eines Kalendermonats,"1.937,37 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KlickEnergie GmbH & Co. KG,10969,7.000 kWh,monatlich,"7,79 €/Monat (93,46 €/Jahr)","26,36 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Monatsende,"1.938,89 €/Jahr",NA,NA,NA,NA,NA,NA,NA,50 € einmalig,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"5,75 €/Monat (69,03 €/Jahr)","26,72 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.939,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RevierKraft - Eine Marke der Energieversorgung Oberhausen AG,10969,7.000 kWh,monatlich,"6,97 €/Monat (83,65 €/Jahr)","27,24 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.940,38 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Prenzlau GmbH,10969,7.000 kWh,monatlich,"6,41 €/Monat (76,97 €/Jahr)","26,63 Cent/kWh",NA,NA,keine,12 Monate,keine Angabe,1 Monat vor Ende der Laufzeit,"1.940,81 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Flensburg GmbH,10969,7.000 kWh,monatlich,"6,08 €/Monat (72,96 €/Jahr)","26,69 Cent/kWh",NA,NA,12 Monate Preisgarantie,6 Monate,14 Tage,14 Tage zum Vertragsende,"1.941,38 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Schwerin GmbH (SWS),10969,7.000 kWh,monatlich,"8,03 €/Monat (96,39 €/Jahr)","32,15 Cent/kWh",NA,NA,18 Monate Nettopreisgarantie,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.942,03 €/Jahr",NA,NA,NA,405 € einmalig,NA,NA,NA,NA,NA,NA,NA
Hoyer Strom- und Erdgas GmbH,10969,7.000 kWh,monatlich,"6,08 €/Monat (73,00 €/Jahr)","26,71 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Monatsende,"1.942,70 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuxx - Die Sparenergie GmbH,10969,7.000 kWh,monatlich,"9,52 €/Monat (114,25 €/Jahr)","35,37 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.942,83 €/Jahr",NA,NA,25 % auf Rechnungsbetrag (647 € ),NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Oranienburg GmbH,10969,7.000 kWh,monatlich,"8,17 €/Monat (98,00 €/Jahr)","26,36 Cent/kWh",NA,NA,12 Monate Preisgarantie,1 Monat,1 Monat,1 Monat zum Monatsende,"1.943,20 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enQu GmbH,10969,7.000 kWh,monatlich,"6,94 €/Monat (83,31 €/Jahr)","26,57 Cent/kWh",NA,NA,24 Monate Preisfixierung,24 Monate,12 Monate,4 Wochen zum Monatsende,"1.943,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Bad Langensalza GmbH,10969,7.000 kWh,monatlich,"8,57 €/Monat (102,82 €/Jahr)","26,31 Cent/kWh",NA,NA,keine,bis 31.12.2019,12 Monate,6 Wochen zum Ende der Lieferzeit,"1.944,58 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWU Energie GmbH,10969,7.000 kWh,monatlich,"5,55 €/Monat (66,60 €/Jahr)","26,84 Cent/kWh",NA,NA,12 Monate Preisfixierung,3 Monate,1 Monat,4 Wochen zum Monatsende,"1.945,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KlickEnergie GmbH & Co. KG,10969,7.000 kWh,monatlich,"8,34 €/Monat (100,07 €/Jahr)","26,37 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,4 Wochen zum Monatsende,"1.946,08 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stromio GmbH,10969,7.000 kWh,monatlich,"21,41 €/Monat (256,93 €/Jahr)","29,40 Cent/kWh",NA,20 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.947,69 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (347 € ),NA,NA,NA,NA,NA,NA,NA,NA
Stromio GmbH,10969,7.000 kWh,monatlich,"11,48 €/Monat (137,81 €/Jahr)","25,86 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.948,01 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1 Energie AG,10969,7.000 kWh,monatlich,"8,93 €/Monat (107,16 €/Jahr)","26,31 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,12 Monate,12 Monate,4 Wochen zum Vertragsende,"1.948,86 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FairEnergie GmbH,10969,7.000 kWh,monatlich,"12,59 €/Monat (151,13 €/Jahr)","28,94 Cent/kWh",NA,150 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.948,93 €/Jahr",NA,NA,78 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
TEAG Thüringer Energie AG,10969,7.000 kWh,monatlich,"7,62 €/Monat (91,50 €/Jahr)","27,26 Cent/kWh",NA,NA,12 Monate Preisfixierung,12 Monate,12 Monate,1 Monat zum Vertragsende,"1.949,90 €/Jahr",NA,NA,50 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
energieGUT GmbH,10969,7.000 kWh,monatlich,"10,44 €/Monat (125,26 €/Jahr)","26,08 Cent/kWh",NA,NA,12 Monate Preisfixierung,3 Monate,1 Monat,1 Monat zum Monatsende,"1.950,86 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fulminant Energie GmbH,10969,7.000 kWh,monatlich,"7,93 €/Monat (95,21 €/Jahr)","26,51 Cent/kWh",NA,NA,12 Monate Energiepreisgarantie,12 Monate,12 Monate,1 Monat zum Monatsende,"1.951,22 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berliner Stadtwerke EnergiePartner GmbH,10969,7.000 kWh,monatlich,"8,10 €/Monat (97,25 €/Jahr)","26,50 Cent/kWh",NA,NA,Preisfixierung bis 01.01.2021,12 Monate,4 Wochen,1 Monat zum Monatsende,"1.952,34 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
team energie GmbH & Co. KG,10969,7.000 kWh,monatlich,"6,82 €/Monat (81,84 €/Jahr)","26,73 Cent/kWh",NA,NA,12 Monate Preisfixierung,6 Monate,1 Monat,1 Monat zum Vertragsende,"1.952,94 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GASAG AG,10969,7.000 kWh,monatlich,"7,90 €/Monat (94,80 €/Jahr)","26,56 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"1.954,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GASAG AG,10969,7.000 kWh,monatlich,"7,90 €/Monat (94,80 €/Jahr)","26,56 Cent/kWh",NA,NA,24 Monate Energiepreisgarantie,24 Monate,12 Monate,1 Monat vor Ende der Laufzeit,"1.954,00 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
